Contig_ID,Linkage_Group,Location_Used_Map_Creation,Location_SCL
G3_NODE_4026124_length_423_cov_9.848700,GR14,,0
G3_NODE_5672671_length_3054_cov_6.640471,GR14,,0
G3_NODE_1769192_length_1700_cov_9.361765,GR15,,0
G3_NODE_28752_length_1258_cov_6.089825,GR15,,0
G3_NODE_1902363_length_2450_cov_9.306939,GR16,,0
G3_NODE_3424744_length_1169_cov_8.151411,GR17,,0
G3_NODE_713439_length_759_cov_7.973650,GR17,,0
G3_NODE_255438_length_2734_cov_11.539502,GR18,,0
G3_NODE_884457_length_184_cov_11.521739,GR18,,0
G3_NODE_2529184_length_829_cov_4.463209,GR4,,0
G3_NODE_910952_length_1601_cov_17.778889,GR4,,0
G3_NODE_2427178_length_820_cov_5.096342,GR7,,0
G3_NODE_1321354_length_735_cov_8.746939,GR9,,0
G3_NODE_1507523_length_1450_cov_9.148966,GR5,,0.325
G3_NODE_2268945_length_4175_cov_8.561677,GR5,,0.325
G3_NODE_1877864_length_1127_cov_8.809228,GR12,,1.863
G3_NODE_1431959_length_1279_cov_12.284597,GR3,,2.297
G3_NODE_4231717_length_3676_cov_6.825354,GR2,,3.195
G3_NODE_1799776_length_3669_cov_8.489234,GR10,,3.794
G3_NODE_1976767_length_1283_cov_9.009353,GR10,,3.794
G3_NODE_379575_length_555_cov_12.309910,GR10,,3.794
G3_NODE_480022_length_257_cov_53.867702,GR10,,3.794
G3_NODE_1062277_length_604_cov_8.574503,GR10,,4.956
G3_NODE_1222862_length_380_cov_14.702632,GR10,,4.956
G3_NODE_1319295_length_4455_cov_7.451403,GR10,,4.956
G3_NODE_2704913_length_3938_cov_8.542915,GR10,,4.956
G3_NODE_3313707_length_1042_cov_21.934740,GR10,,4.956
G3_NODE_3876310_length_3732_cov_7.101286,GR10,,4.956
G3_NODE_4058001_length_4882_cov_6.684761,GR10,,4.956
G3_NODE_421677_length_72_cov_12.958333,GR10,,4.956
G3_NODE_727019_length_1176_cov_13.323130,GR10,,4.956
G3_NODE_1878572_length_1819_cov_8.083563,GR6,,5.692
G3_NODE_2102018_length_2985_cov_7.229146,GR6,,5.692
G3_NODE_2565269_length_298_cov_12.231544,GR6,,5.692
G3_NODE_3093413_length_344_cov_11.537790,GR6,,5.692
G3_NODE_2295888_length_2077_cov_7.274434,GR5,,5.742
G3_NODE_2446488_length_3069_cov_9.803193,GR5,,5.742
G3_NODE_3497691_length_402_cov_38.094528,GR5,,5.742
G3_NODE_3876641_length_1605_cov_6.423053,GR5,,5.742
G3_NODE_4916695_length_2221_cov_6.549302,GR5,,5.742
G3_NODE_5532882_length_421_cov_16.270784,GR5,,5.742
G3_NODE_1700729_length_1368_cov_8.384503,GR16,,6.517
G3_NODE_2833118_length_1128_cov_5.841312,GR7,,7.701
G3_NODE_1372773_length_280_cov_12.535714,GR13,,7.81
G3_NODE_1740458_length_658_cov_8.632219,GR13,,7.81
G3_NODE_3442165_length_1024_cov_9.941406,GR13,,7.81
G3_NODE_4477327_length_245_cov_11.567347,GR13,,7.81
G3_NODE_4895879_length_6327_cov_8.334439,GR13,,7.81
G3_NODE_3015587_length_149_cov_5.167785,GR2,,8.28
G3_NODE_3512526_length_4872_cov_8.740559,GR2,,8.28
G3_NODE_4405022_length_3851_cov_7.749935,GR2,,8.28
G3_NODE_5095428_length_2072_cov_9.263514,GR2,,8.28
G3_NODE_4593760_length_3534_cov_7.127335,GR5,,8.421
G3_NODE_4802796_length_51_cov_8.627451,GR12,,8.572
G3_NODE_1319712_length_2800_cov_6.740714,GR11,,8.641
G3_NODE_3315415_length_1922_cov_7.849115,GR11,,8.641
G3_NODE_1161738_length_195_cov_30.943590,GR5,,9.224
G3_NODE_125849_length_171_cov_11.152047,GR5,,9.224
G3_NODE_1373143_length_1597_cov_11.225423,GR5,,9.224
G3_NODE_2447035_length_538_cov_14.905205,GR13,,9.344
G3_NODE_2707931_length_1081_cov_7.318224,GR13,,9.344
G3_NODE_1355543_length_1687_cov_8.272674,GR14,,9.358
G3_NODE_2264431_length_1108_cov_8.104693,GR14,,9.358
G3_NODE_3246128_length_2107_cov_6.867584,GR14,,9.358
G3_NODE_4051178_length_217_cov_14.331798,GR14,,9.358
G3_NODE_4691182_length_51_cov_5.372549,GR14,,9.358
G3_NODE_5946424_length_3733_cov_5.761050,GR14,,9.358
G3_NODE_4836722_length_2392_cov_8.064799,GR10,,9.478
G3_NODE_536485_length_2229_cov_9.669358,GR10,,9.958
G3_NODE_840511_length_2445_cov_11.491206,GR19,,10.013
G3_NODE_1060580_length_2180_cov_9.166972,GR13,,10.2
G3_NODE_3006878_length_525_cov_4.091429,GR13,,10.2
G3_NODE_4423519_length_83_cov_4.578313,GR13,,10.2
G3_NODE_4022161_length_3490_cov_5.558739,GR7,,10.336
G3_NODE_1899868_length_1560_cov_9.536538,GR13,,10.572
G3_NODE_1916958_length_197_cov_14.492386,GR13,,10.572
G3_NODE_3866298_length_114_cov_16.333334,GR13,,10.572
G3_NODE_1155458_length_7163_cov_9.704872,GR10,,10.646
G3_NODE_2954499_length_759_cov_8.293808,GR10,,10.646
G3_NODE_2370366_length_200_cov_12.790000,GR6,,10.651
G3_NODE_1878343_length_997_cov_8.863591,GR10,,11.142
G3_NODE_2945805_length_1428_cov_7.698880,GR10,,11.142
G3_NODE_3277631_length_2638_cov_8.375284,GR2,,11.391
G3_NODE_1491026_length_1632_cov_8.708333,GR12,,11.525
G3_NODE_2409770_length_3402_cov_7.040270,GR12,,11.525
G3_NODE_2440443_length_719_cov_10.730181,GR12,,11.525
G3_NODE_3170678_length_957_cov_9.005224,GR12,,11.525
G3_NODE_5234380_length_94_cov_11.808511,GR12,,11.525
G3_NODE_722636_length_902_cov_14.078714,GR12,,11.525
G3_NODE_1798057_length_838_cov_9.361575,GR13,,12.059
G3_NODE_2011416_length_2088_cov_8.157567,GR13,,12.059
G3_NODE_3384590_length_237_cov_11.383966,GR13,,12.059
G3_NODE_455713_length_2510_cov_8.345020,GR13,,12.059
G3_NODE_4634947_length_130_cov_19.753845,GR13,,12.059
G3_NODE_1197744_length_859_cov_9.575088,GR10,,12.117
G3_NODE_3111013_length_269_cov_13.784387,GR10,,12.117
G3_NODE_3728013_length_609_cov_12.896552,GR10,,12.117
G3_NODE_145615_length_759_cov_12.061924,GR5,,12.54
G3_NODE_2402533_length_1842_cov_6.838762,GR5,,12.54
G3_NODE_1069491_length_1232_cov_8.199676,GR10,,12.592
G3_NODE_2250361_length_875_cov_9.578286,GR10,,12.592
G3_NODE_3449493_length_3032_cov_8.170514,GR10,,12.592
G3_NODE_4137633_length_165_cov_12.763637,GR10,,12.592
G3_NODE_4361121_length_463_cov_10.911448,GR10,,12.592
G3_NODE_1920501_length_354_cov_12.180791,GR7,,12.602
G3_NODE_1099407_length_1032_cov_11.230620,GR16,,12.96
G3_NODE_1834667_length_576_cov_10.432292,GR16,,12.96
G3_NODE_381928_length_3300_cov_8.037272,GR16,,12.96
G3_NODE_796120_length_3099_cov_9.057438,GR16,,12.96
G3_NODE_516749_length_338_cov_13.878698,GR17,,12.96
G3_NODE_1081965_length_261_cov_11.770115,GR6,,13.097
G3_NODE_1292305_length_570_cov_14.933333,GR6,,13.097
G3_NODE_1556706_length_2132_cov_9.733583,GR6,,13.097
G3_NODE_5067814_length_4408_cov_6.517241,GR6,,13.097
G3_NODE_5561705_length_3051_cov_6.733202,GR6,,13.097
G3_NODE_571987_length_6048_cov_9.113260,GR6,,13.097
G3_NODE_1486597_length_348_cov_9.491380,GR19,,13.169
G3_NODE_317022_length_1377_cov_10.854031,GR19,,13.169
G3_NODE_3291778_length_8413_cov_7.788304,GR19,,13.169
G3_NODE_985100_length_2464_cov_8.308441,GR10,,13.556
G3_NODE_2121650_length_99_cov_8.060606,GR12,,13.822
G3_NODE_902362_length_334_cov_11.146707,GR12,,13.822
G3_NODE_237415_length_2942_cov_7.084296,GR13,,14.009
G3_NODE_1455250_length_672_cov_11.316964,GR5,,14.331
G3_NODE_809243_length_1250_cov_10.315200,GR5,,14.331
G3_NODE_1296823_length_507_cov_11.112426,GR5,,14.411
G3_NODE_3153870_length_3871_cov_7.878843,GR5,,14.411
G3_NODE_4101710_length_939_cov_4.662407,GR5,,14.411
G3_NODE_4548318_length_5579_cov_6.510486,GR5,,14.411
G3_NODE_2079714_length_523_cov_10.311664,GR7,,14.432
G3_NODE_1194043_length_2646_cov_6.986394,GR10,,14.468
G3_NODE_1642746_length_1752_cov_7.479452,GR10,,14.468
G3_NODE_2733571_length_4405_cov_9.497162,GR10,,14.468
G3_NODE_4553005_length_206_cov_11.558252,GR10,,14.468
G3_NODE_1221583_length_3279_cov_7.960354,GR20,,14.752
G3_NODE_3141491_length_908_cov_8.400881,GR20,,14.752
G3_NODE_2426239_length_3820_cov_8.084555,GR13,,14.871
G3_NODE_4475959_length_6379_cov_8.448816,GR11,,15.067
G3_NODE_5306833_length_1129_cov_7.044287,GR11,,15.067
G3_NODE_1480881_length_409_cov_10.195599,GR13,,15.094
G3_NODE_1913077_length_4785_cov_8.157367,GR13,,15.094
G3_NODE_2053180_length_4059_cov_12.036216,GR13,,15.094
G3_NODE_2340792_length_51_cov_7.254902,GR13,,15.094
G3_NODE_2829381_length_1049_cov_5.081029,GR13,,15.094
G3_NODE_3954132_length_2417_cov_6.551924,GR13,,15.094
G3_NODE_4209756_length_1036_cov_4.857143,GR13,,15.094
G3_NODE_5257508_length_950_cov_7.701053,GR13,,15.094
G3_NODE_910285_length_324_cov_16.737654,GR13,,15.094
G3_NODE_1448393_length_585_cov_17.355556,GR5,,15.161
G3_NODE_3273927_length_1047_cov_12.759313,GR5,,15.161
G3_NODE_1594555_length_388_cov_14.685567,GR12,,15.255
G3_NODE_2580148_length_1536_cov_4.663412,GR19,,15.419
G3_NODE_4102983_length_3328_cov_8.056791,GR19,,15.419
G3_NODE_3230672_length_105_cov_14.180952,GR5,,15.8
G3_NODE_282633_length_3999_cov_8.123781,GR16,,16.012
G3_NODE_2094150_length_2795_cov_7.670841,GR12,,16.108
G3_NODE_1034507_length_803_cov_11.048568,GR13,,16.153
G3_NODE_1206485_length_530_cov_14.443397,GR13,,16.153
G3_NODE_2102894_length_298_cov_11.483221,GR13,,16.153
G3_NODE_3037940_length_355_cov_11.464788,GR13,,16.153
G3_NODE_3245078_length_5304_cov_5.537519,GR13,,16.153
G3_NODE_5147264_length_3126_cov_7.739284,GR13,,16.153
G3_NODE_5528900_length_2544_cov_8.265330,GR13,,16.153
G3_NODE_6506_length_765_cov_9.698039,GR13,,16.153
G3_NODE_799999_length_2735_cov_8.111517,GR1,,16.155
G3_NODE_2354878_length_313_cov_12.987221,GR5,,16.367
G3_NODE_1418816_length_771_cov_44.290531,GR13,,16.678
G3_NODE_2766818_length_2635_cov_8.109677,GR13,,16.678
G3_NODE_3748085_length_261_cov_9.758620,GR13,,16.678
G3_NODE_5881857_length_1115_cov_5.231390,GR13,,16.678
G3_NODE_2336775_length_894_cov_12.214766,GR20,,16.919
G3_NODE_1752224_length_1148_cov_15.036586,GR13,,17.014
G3_NODE_4077793_length_4804_cov_6.224396,GR13,,17.014
G3_NODE_60986_length_3037_cov_10.847547,GR13,,17.014
G3_NODE_1461631_length_1271_cov_9.397325,GR14,,17.112
G3_NODE_4439704_length_1392_cov_7.765086,GR14,,17.112
G3_NODE_1073777_length_1228_cov_6.502443,GR5,,17.128
G3_NODE_1825656_length_2094_cov_9.573066,GR5,,17.128
G3_NODE_3396304_length_2101_cov_7.627320,GR5,,17.128
G3_NODE_3561351_length_3877_cov_10.208924,GR5,,17.128
G3_NODE_36920_length_668_cov_13.131737,GR5,,17.128
G3_NODE_4421198_length_660_cov_6.348485,GR5,,17.128
G3_NODE_4773860_length_120_cov_8.900000,GR5,,17.128
G3_NODE_4921148_length_4112_cov_8.418288,GR5,,17.128
G3_NODE_581003_length_1631_cov_7.402821,GR5,,17.128
G3_NODE_784557_length_1030_cov_10.379612,GR5,,17.128
G3_NODE_859254_length_1265_cov_13.362056,GR5,,17.128
G3_NODE_4690972_length_334_cov_5.323353,GR5,,17.153
G3_NODE_66173_length_1113_cov_12.929021,GR5,,17.153
G3_NODE_768253_length_1227_cov_11.418908,GR5,,17.153
G3_NODE_771068_length_2177_cov_8.083142,GR5,,17.153
G3_NODE_1597008_length_370_cov_10.970270,GR12,,17.342
G3_NODE_2109669_length_1160_cov_9.381035,GR12,,17.342
G3_NODE_2301257_length_522_cov_11.024904,GR12,,17.342
G3_NODE_2554997_length_277_cov_20.274368,GR12,,17.342
G3_NODE_3004617_length_2255_cov_8.168514,GR12,,17.342
G3_NODE_4020779_length_1526_cov_7.135649,GR12,,17.342
G3_NODE_5216849_length_1934_cov_8.320580,GR12,,17.342
G3_NODE_730222_length_1811_cov_11.103810,GR12,,17.342
G3_NODE_996553_length_734_cov_13.376021,GR12,,17.342
G3_NODE_2922131_length_938_cov_4.833689,GR20,,17.436
G3_NODE_3731333_length_994_cov_12.013079,GR20,,17.436
G3_NODE_1361177_length_5693_cov_9.237485,GR5,,17.481
G3_NODE_1533189_length_4030_cov_8.264020,GR5,,17.481
G3_NODE_2241534_length_1978_cov_7.234581,GR5,,17.481
G3_NODE_2618045_length_4053_cov_7.415988,GR5,,17.481
G3_NODE_3080495_length_696_cov_7.385057,GR5,,17.481
G3_NODE_3422145_length_2747_cov_4.508919,GR5,,17.481
G3_NODE_3821135_length_1320_cov_7.346970,GR5,,17.481
G3_NODE_5846157_length_6750_cov_7.072593,GR5,,17.481
G3_NODE_800667_length_1702_cov_10.401880,GR5,,17.481
G3_NODE_1536235_length_2415_cov_10.879089,GR10,,17.638
G3_NODE_2088851_length_1120_cov_10.605357,GR2,,17.743
G3_NODE_234883_length_881_cov_10.213394,GR12,,17.966
G3_NODE_3890322_length_258_cov_11.802325,GR5,,17.971
G3_NODE_1093012_length_5492_cov_8.174800,GR6,,17.985
G3_NODE_2617616_length_2795_cov_8.281217,GR6,,17.985
G3_NODE_918683_length_2404_cov_11.281198,GR20,,18.103
G3_NODE_1038508_length_3116_cov_9.655328,GR5,,18.12
G3_NODE_242084_length_197_cov_12.730965,GR5,,18.12
G3_NODE_2463824_length_2265_cov_9.860044,GR5,,18.12
G3_NODE_2465426_length_2279_cov_6.990346,GR5,,18.12
G3_NODE_2581603_length_308_cov_13.935065,GR5,,18.12
G3_NODE_2926905_length_591_cov_6.824027,GR5,,18.12
G3_NODE_3253607_length_4133_cov_6.867167,GR5,,18.12
G3_NODE_76512_length_2148_cov_9.011639,GR5,,18.12
G3_NODE_1441819_length_414_cov_9.490338,GR13,,18.225
G3_NODE_1757178_length_642_cov_9.838006,GR13,,18.225
G3_NODE_4364990_length_886_cov_7.267494,GR13,,18.225
G3_NODE_4398146_length_2456_cov_5.366449,GR13,,18.225
G3_NODE_4777502_length_3083_cov_6.963023,GR13,,18.225
G3_NODE_638641_length_1038_cov_9.865126,GR13,,18.225
G3_NODE_1046254_length_909_cov_11.871287,GR1,,18.329
G3_NODE_1780323_length_752_cov_11.125000,GR10,,18.352
G3_NODE_3019376_length_1418_cov_7.980254,GR10,,18.352
G3_NODE_3206264_length_450_cov_4.960000,GR10,,18.352
G3_NODE_1425549_length_123_cov_39.959351,GR19,,18.482
G3_NODE_1022140_length_715_cov_14.054545,GR19,,18.821
G3_NODE_2067501_length_633_cov_11.255924,GR19,,18.821
G3_NODE_938468_length_4331_cov_8.778804,GR19,,18.821
G3_NODE_2291511_length_2509_cov_8.889598,GR5,,18.874
G3_NODE_2299183_length_1654_cov_6.378477,GR5,,18.874
G3_NODE_2457269_length_1313_cov_8.686976,GR5,,18.874
G3_NODE_500043_length_624_cov_10.974359,GR15,,18.959
G3_NODE_2417987_length_3078_cov_16.286551,GR10,,19.005
G3_NODE_2592418_length_1962_cov_10.996942,GR10,,19.005
G3_NODE_2620998_length_1331_cov_6.792637,GR10,,19.005
G3_NODE_4132618_length_3115_cov_7.527448,GR10,,19.005
G3_NODE_6067124_length_3272_cov_7.194376,GR10,,19.005
G3_NODE_1861321_length_1079_cov_10.312326,GR5,,19.169
G3_NODE_2726434_length_924_cov_12.878788,GR5,,19.169
G3_NODE_3292414_length_1033_cov_7.065828,GR5,,19.169
G3_NODE_3684148_length_155_cov_6.374194,GR5,,19.169
G3_NODE_913785_length_366_cov_8.363388,GR20,,19.216
G3_NODE_1003943_length_459_cov_19.679739,GR12,,19.23
G3_NODE_2309352_length_646_cov_12.896285,GR12,,19.23
G3_NODE_2772639_length_164_cov_18.219513,GR12,,19.23
G3_NODE_3308798_length_122_cov_17.262295,GR12,,19.23
G3_NODE_4035626_length_1136_cov_8.633802,GR12,,19.23
G3_NODE_4089567_length_1313_cov_7.634425,GR12,,19.23
G3_NODE_5537801_length_1935_cov_6.805168,GR12,,19.23
G3_NODE_802578_length_543_cov_14.239410,GR12,,19.23
G3_NODE_831328_length_4562_cov_11.341516,GR12,,19.23
G3_NODE_907546_length_3553_cov_8.911905,GR12,,19.23
G3_NODE_1878387_length_2045_cov_7.977506,GR7,,19.339
G3_NODE_2069280_length_325_cov_11.098461,GR7,,19.339
G3_NODE_3430044_length_3014_cov_7.151958,GR7,,19.339
G3_NODE_4012409_length_1956_cov_7.920757,GR7,,19.339
G3_NODE_1151847_length_2647_cov_6.812618,GR13,,19.351
G3_NODE_1354008_length_2254_cov_9.834517,GR13,,19.351
G3_NODE_3360296_length_2405_cov_8.236590,GR13,,19.351
G3_NODE_420533_length_2870_cov_9.208363,GR13,,19.351
G3_NODE_1024065_length_3007_cov_8.764549,GR13,,19.56
G3_NODE_1634657_length_611_cov_6.603928,GR13,,19.56
G3_NODE_1907580_length_525_cov_11.350476,GR13,,19.56
G3_NODE_1966761_length_2022_cov_8.022255,GR13,,19.56
G3_NODE_2041750_length_106_cov_23.358490,GR13,,19.56
G3_NODE_3516109_length_2666_cov_5.522130,GR13,,19.56
G3_NODE_3528539_length_747_cov_7.294511,GR13,,19.56
G3_NODE_5146144_length_2625_cov_4.906286,GR13,,19.56
G3_NODE_62077_length_459_cov_12.884532,GR13,,19.56
G3_NODE_2052348_length_182_cov_8.252748,GR5,,19.639
G3_NODE_2699370_length_3731_cov_9.236398,GR5,,19.639
G3_NODE_2967093_length_268_cov_26.582090,GR5,,19.639
G3_NODE_3201644_length_4730_cov_7.803594,GR5,,19.639
G3_NODE_3464983_length_1119_cov_9.618409,GR5,,19.639
G3_NODE_4522488_length_3048_cov_8.220144,GR5,,19.639
G3_NODE_4595419_length_2561_cov_7.547833,GR5,,19.639
G3_NODE_4673548_length_1580_cov_8.210759,GR5,,19.639
G3_NODE_687779_length_2917_cov_9.427494,GR5,,19.639
G3_NODE_739963_length_2759_cov_29.965567,GR5,,19.639
G3_NODE_1774767_length_2498_cov_7.996397,GR12,,19.766
G3_NODE_2181883_length_306_cov_15.264706,GR12,,19.766
G3_NODE_4935902_length_2062_cov_5.670223,GR12,,19.766
G3_NODE_746216_length_2037_cov_11.195876,GR12,,19.812
G3_NODE_2753343_length_3227_cov_8.329099,GR1,,19.969
G3_NODE_292755_length_576_cov_9.777778,GR1,,19.969
G3_NODE_303898_length_1382_cov_12.019537,GR1,,19.969
G3_NODE_3073498_length_229_cov_11.951965,GR1,,19.969
G3_NODE_628576_length_377_cov_12.424403,GR1,,19.969
G3_NODE_1123036_length_1331_cov_10.966942,GR10,,20.035
G3_NODE_2764177_length_4923_cov_8.020313,GR10,,20.035
G3_NODE_6187097_length_3109_cov_8.534577,GR18,,20.048
G3_NODE_1249017_length_694_cov_10.914986,GR5,,20.345
G3_NODE_2397667_length_1075_cov_11.015814,GR5,,20.345
G3_NODE_3102047_length_3615_cov_7.829046,GR5,,20.345
G3_NODE_3180506_length_214_cov_8.967290,GR5,,20.345
G3_NODE_3580779_length_1762_cov_5.955732,GR5,,20.345
G3_NODE_3793780_length_2825_cov_7.549735,GR5,,20.345
G3_NODE_3889629_length_120_cov_11.466666,GR5,,20.345
G3_NODE_4225625_length_493_cov_7.673428,GR5,,20.345
G3_NODE_4506120_length_807_cov_8.463445,GR5,,20.345
G3_NODE_613344_length_1465_cov_11.512628,GR5,,20.345
G3_NODE_6199661_length_7606_cov_6.299500,GR5,,20.345
G3_NODE_970523_length_4027_cov_9.055376,GR5,,20.345
G3_NODE_993208_length_948_cov_11.518988,GR5,,20.345
G3_NODE_1582115_length_498_cov_11.433735,GR7,,20.601
G3_NODE_3378644_length_653_cov_6.938744,GR7,,20.601
G3_NODE_5754180_length_1318_cov_5.710167,GR7,,20.601
G3_NODE_2156003_length_2282_cov_7.624890,GR10,,20.709
G3_NODE_1266700_length_4211_cov_7.582522,GR5,,20.709
G3_NODE_3259753_length_3777_cov_7.217898,GR5,,20.709
G3_NODE_5532228_length_1981_cov_8.073700,GR5,,20.709
G3_NODE_6203246_length_5440_cov_6.818382,GR5,,20.709
G3_NODE_1194132_length_2496_cov_8.163862,GR12,,20.896
G3_NODE_1444178_length_1074_cov_12.176908,GR12,,20.896
G3_NODE_269621_length_2247_cov_10.610592,GR12,,20.896
G3_NODE_2818580_length_697_cov_5.020086,GR12,,20.896
G3_NODE_3063572_length_4145_cov_6.735103,GR12,,20.896
G3_NODE_4054925_length_2457_cov_7.155881,GR12,,20.896
G3_NODE_4715103_length_3748_cov_8.291622,GR12,,20.896
G3_NODE_620619_length_631_cov_8.719493,GR12,,20.896
G3_NODE_2332543_length_522_cov_9.647510,GR20,,21.013
G3_NODE_4370853_length_2217_cov_8.023005,GR20,,21.013
G3_NODE_2769543_length_12437_cov_8.194179,GR6,,21.015
G3_NODE_3155618_length_1812_cov_9.014349,GR6,,21.015
G3_NODE_39241_length_1903_cov_11.899107,GR6,,21.015
G3_NODE_5159095_length_2597_cov_7.762418,GR6,,21.015
G3_NODE_2067003_length_298_cov_34.818790,GR5,,21.264
G3_NODE_1011259_length_1678_cov_8.027413,GR10,,21.285
G3_NODE_3896592_length_147_cov_21.170069,GR15,,21.384
G3_NODE_435068_length_1512_cov_11.615079,GR15,,21.384
G3_NODE_5154275_length_234_cov_10.354701,GR15,,21.384
G3_NODE_1414975_length_3466_cov_8.813330,GR12,,21.41
G3_NODE_3024296_length_428_cov_8.088785,GR12,,21.41
G3_NODE_1299065_length_748_cov_7.893048,GR20,,21.631
G3_NODE_138951_length_4128_cov_8.711725,GR20,,21.631
G3_NODE_1899409_length_1273_cov_11.275726,GR20,,21.631
G3_NODE_243315_length_1878_cov_11.198615,GR20,,21.631
G3_NODE_3250631_length_3573_cov_7.912958,GR20,,21.631
G3_NODE_1183318_length_2318_cov_7.732528,GR3,,21.841
G3_NODE_1614850_length_90_cov_8.311111,GR3,,21.841
G3_NODE_1956201_length_217_cov_13.506912,GR5,,21.919
G3_NODE_2421093_length_2530_cov_9.457313,GR5,,21.919
G3_NODE_2536371_length_3987_cov_8.228744,GR5,,21.919
G3_NODE_3734225_length_1150_cov_6.834783,GR5,,21.919
G3_NODE_3439729_length_1748_cov_6.612700,GR7,,21.995
G3_NODE_1305504_length_368_cov_7.358696,GR12,,22.15
G3_NODE_3396156_length_3372_cov_9.263641,GR12,,22.15
G3_NODE_4854599_length_1385_cov_5.878700,GR12,,22.15
G3_NODE_1073902_length_464_cov_5.896552,GR18,,22.191
G3_NODE_1658476_length_4667_cov_8.020570,GR18,,22.191
G3_NODE_3382248_length_475_cov_11.098948,GR18,,22.191
G3_NODE_3396411_length_1069_cov_8.973807,GR18,,22.191
G3_NODE_796085_length_2916_cov_10.800411,GR18,,22.191
G3_NODE_1260978_length_2233_cov_10.480968,GR11,,22.639
G3_NODE_160932_length_345_cov_14.063768,GR10,,22.674
G3_NODE_5442465_length_3747_cov_7.651988,GR10,,22.674
G3_NODE_3575719_length_4842_cov_7.127633,GR7,,22.779
G3_NODE_4171876_length_425_cov_6.960000,GR7,,22.779
G3_NODE_2526100_length_4553_cov_9.222711,GR5,,22.788
G3_NODE_3472632_length_3154_cov_8.912492,GR5,,22.788
G3_NODE_3522615_length_866_cov_9.101617,GR5,,22.788
G3_NODE_4142420_length_1335_cov_5.364045,GR5,,22.788
G3_NODE_4452547_length_4256_cov_7.179511,GR5,,22.788
G3_NODE_3239032_length_8235_cov_8.105525,GR16,,22.813
G3_NODE_4125212_length_491_cov_11.822810,GR16,,22.813
G3_NODE_808037_length_1039_cov_6.561117,GR16,,22.813
G3_NODE_1036961_length_724_cov_7.269337,GR2,,22.85
G3_NODE_933167_length_2655_cov_9.769491,GR10,,22.986
G3_NODE_1407446_length_1129_cov_12.637733,GR12,,23.113
G3_NODE_1707598_length_1211_cov_7.893476,GR12,,23.113
G3_NODE_1798847_length_1741_cov_7.411832,GR12,,23.113
G3_NODE_2536908_length_638_cov_11.440439,GR12,,23.113
G3_NODE_279380_length_1262_cov_12.386688,GR12,,23.113
G3_NODE_5381637_length_4876_cov_7.681501,GR12,,23.113
G3_NODE_555885_length_3389_cov_7.347300,GR12,,23.113
G3_NODE_5848293_length_1195_cov_6.091213,GR12,,23.113
G3_NODE_1118431_length_1066_cov_8.392120,GR7,,23.132
G3_NODE_1433640_length_378_cov_16.894180,GR7,,23.132
G3_NODE_26271_length_1244_cov_6.909968,GR7,,23.132
G3_NODE_3206105_length_1059_cov_6.297451,GR7,,23.132
G3_NODE_3279300_length_5617_cov_8.019761,GR7,,23.132
G3_NODE_3555919_length_5977_cov_7.098545,GR7,,23.132
G3_NODE_3737085_length_970_cov_8.726804,GR7,,23.132
G3_NODE_4807239_length_369_cov_5.382114,GR7,,23.132
G3_NODE_5216006_length_3879_cov_6.703016,GR7,,23.132
G3_NODE_549895_length_925_cov_11.695135,GR7,,23.132
G3_NODE_1000463_length_840_cov_5.086905,GR20,,23.23
G3_NODE_1228554_length_467_cov_20.376873,GR20,,23.23
G3_NODE_3194810_length_928_cov_9.038794,GR20,,23.23
G3_NODE_3999786_length_1612_cov_8.396402,GR20,,23.23
G3_NODE_400640_length_226_cov_33.761063,GR20,,23.23
G3_NODE_4503131_length_955_cov_6.572775,GR20,,23.23
G3_NODE_4605262_length_3716_cov_8.388052,GR20,,23.23
G3_NODE_1272118_length_395_cov_30.643038,GR10,,23.424
G3_NODE_2200668_length_2828_cov_7.770863,GR10,,23.424
G3_NODE_4633729_length_110_cov_12.145454,GR10,,23.424
G3_NODE_4999156_length_4643_cov_8.334051,GR10,,23.424
G3_NODE_708013_length_244_cov_11.827868,GR10,,23.424
G3_NODE_773817_length_2843_cov_7.970102,GR10,,23.424
G3_NODE_1154160_length_700_cov_11.811429,GR10,,23.759
G3_NODE_574916_length_120_cov_7.733333,GR10,,23.759
G3_NODE_1078887_length_409_cov_11.232274,GR5,,23.796
G3_NODE_2194935_length_3921_cov_8.639378,GR5,,23.796
G3_NODE_2704193_length_3174_cov_7.974480,GR5,,23.796
G3_NODE_3042626_length_527_cov_5.652751,GR5,,23.796
G3_NODE_1111527_length_633_cov_7.772512,GR5,,24.046
G3_NODE_2254729_length_3563_cov_8.974179,GR5,,24.046
G3_NODE_3607636_length_3189_cov_10.982126,GR5,,24.046
G3_NODE_376729_length_1038_cov_6.982659,GR5,,24.046
G3_NODE_4051557_length_3104_cov_4.686533,GR5,,24.046
G3_NODE_79178_length_436_cov_10.380733,GR5,,24.046
G3_NODE_833288_length_1118_cov_9.020573,GR5,,24.046
G3_NODE_1545186_length_861_cov_12.441347,GR10,,24.185
G3_NODE_1746616_length_520_cov_13.228847,GR10,,24.185
G3_NODE_2228800_length_2872_cov_7.840181,GR10,,24.185
G3_NODE_2647189_length_506_cov_11.666008,GR10,,24.185
G3_NODE_435615_length_449_cov_6.305122,GR10,,24.185
G3_NODE_1607781_length_1301_cov_9.060722,GR3,,24.439
G3_NODE_1975766_length_484_cov_15.913223,GR19,,24.515
